source,edge_id,osm_way_id,direction,node_count,first_node_id,last_node_id,highway,access_status,access_reason,structure_status,oneway,oneway_bicycle,junction,bicycle,access,vehicle,surface,smoothness,tracktype,bridge,tunnel,covered,layer,selected_for_profile
live,osm-way-49793783-forward,49793783,forward,13,312163592,312163596,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-49793783-reverse,49793783,reverse,13,312163596,312163592,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-49793786-forward,49793786,forward,5,312586425,312163127,unclassified,admissible,highway=unclassified cyclable by default,normal,yes,,,,,,,,,,,,,False
live,osm-way-49793787-forward,49793787,forward,5,312163128,312586425,unclassified,admissible,highway=unclassified cyclable by default,normal,yes,,,,,,,,,,,,,False
live,osm-way-49894102-forward,49894102,forward,118,634110957,634121545,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-49894102-reverse,49894102,reverse,118,634121545,634110957,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-49894103-forward,49894103,forward,6,634110966,27292643,secondary,admissible,highway=secondary cyclable by default,normal,yes,,,,,,,,,,,,,False
live,osm-way-49894104-forward,49894104,forward,17,634110966,634110957,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-49894104-reverse,49894104,reverse,17,634110957,634110966,secondary,admissible,highway=secondary cyclable by default,normal,,,,,,,,,,,,,,False
live,osm-way-49894105-forward,49894105,forward,5,312840925,634110966,secondary,admissible,highway=secondary cyclable by default,normal,yes,,,,,,,,,,,,,False
live,osm-way-54396765-forward,54396765,forward,22,27292669,2163173504,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,asphalt,,,,yes,,-1,False
live,osm-way-54396765-reverse,54396765,reverse,22,2163173504,27292669,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,asphalt,,,,yes,,-1,False
live,osm-way-54633493-forward,54633493,forward,16,251670694,2424615024,primary_link,admissible,highway=primary_link cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
live,osm-way-61497926-forward,61497926,forward,42,1463121065,767464052,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-61497926-reverse,61497926,reverse,42,767464052,1463121065,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-61497927-forward,61497927,forward,2,767463998,767464009,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,,,,,yes,,,False
live,osm-way-61497927-reverse,61497927,reverse,2,767464009,767463998,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,,,,,yes,,,False
live,osm-way-61497929-forward,61497929,forward,2,767463994,380815,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,,,,,yes,,,False
live,osm-way-61497929-reverse,61497929,reverse,2,380815,767463994,primary,admissible,highway=primary cyclable by default,tunnel,,,,,,,,,,,yes,,,False
live,osm-way-61497930-forward,61497930,forward,87,767464009,93850575,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-61497930-reverse,61497930,reverse,87,93850575,767464009,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-61497931-forward,61497931,forward,21,380815,767463998,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-61497931-reverse,61497931,reverse,21,767463998,380815,primary,admissible,highway=primary cyclable by default,normal,,,,,,,asphalt,,,,,,,False
live,osm-way-67079391-forward,67079391,forward,11,27292257,1459313453,unclassified,admissible,highway=unclassified cyclable by default,normal,yes,,,,,,asphalt,,,,,,,False
